text|source|chunk_id
"Intro to Interoperability

Introduction"|data_input/MediumArticles/Health Data Interoperability.txt|bb894d4a987241c6b7827d4acabac6dc
A long time ago, every mobile phone used its own unique charging port design. Even two different Nokia models (yes.. that old) would refuse to breathe electrons using the same charging pin. And now almost every phoneâ€”save Appleâ€” uses USB C. While it does take the uniqueness of the character away from a mobile phone model, it indisputably provides a lot of convenience for us, the users. Our days of hunting for chargers urgently while our mobile phone takes its last breath of life, are over. Now any mobile phone can be plugged into any charger, any were. That sounds like an obvious idea in retrospect. Duh.. why were we doing all that charger-matching business for so long when the solution was so simple? For one, it was good business for the phone companies to keep selling chargers for their phone models by reinforcing the â€˜one model on chargerâ€™ paradigm. But for another reason that I can vouch for having worked with electronic physical interfaces for a living, It is not easy to design a|data_input/MediumArticles/Health Data Interoperability.txt|ebcfb9727a42482d986fa2b0a64fa8ac
for a living, It is not easy to design a standard interface that can fit all. It is even harder to then convince all the parties (companies) to use this standard, even if technically it satisfies all the requirements. Long and hard it took, thousands of engineers toiled for years, thousands of leaders lobbied tirelessly, and we finally achieved mobile charging interoperability. Yay!|data_input/MediumArticles/Health Data Interoperability.txt|5799ce249cde44a28db1429ca4c2171f
Once we have achieved the charging interoperability bliss, it is so hard to imagine the match-making-charger-lugging-emergency-hunting hell we dealt with back then. Yupsâ€¦ Interoperability does that! Now that the benefits of Interoperability are firmly established (though I admitâ€¦ with a vague example ), Letâ€™s see if Data Interoperability in Health and Wellness (HnW) can be useful. Spoiler alert.. it is! Health Data Interoperability (HDI) can offer benefits that are much larger than Interoperability in mobile phone chargers. It is also much harder to achieve. After all, what is a challenge if easy?|data_input/MediumArticles/Health Data Interoperability.txt|7eb8854be27f45e195dea63b72e2a111
What is Health Data Interoperability? Health data interoperability means the ability of different health information technology systems to communicate and exchange data with each other seamlessly, securely, and efficiently with the Patientâ€™s consent. Interoperability enables health data to be shared among healthcare providers, hospitals, and other healthcare organisations, regardless of the technology platform they are using. Simply speaking, that means you should not be needed to lug your entire medical history in hard copy to every doctor, every time you sneeze. We have all experienced going to a doctor carrying that big fat folder, filed with withering pages of our medical history. And when the doctor asks questions about the missing information, so hard we try to recollect the name of the drug prescribed by the last doctor, or our allergies (Thou shanâ€™t forget those!). And still coming out of the cabin only to remember a crucial detail we forgot to mentionâ€¦ Dam! Wellâ€¦ that was an|data_input/MediumArticles/Health Data Interoperability.txt|73070e9dc04e4ac7922d1d0048b67ab7
we forgot to mentionâ€¦ Dam! Wellâ€¦ that was an oversimplified â€” and slightly exaggerated for dramatic effect â€” reconstruction of my medical experiences visiting a doctor. But it drives the point home. Remember the mobile charger hellâ€¦ it is like that, only the stakes are higher. Every healthcare service provider these days uses a technology platform to manage its services. This includes a Hospital management system (HMS), Electronic Health Record (EHR), Patient Record (PHR) system etc.|data_input/MediumArticles/Health Data Interoperability.txt|cbe8dd638b924f8394985b67838e7023
In practical terms, health data interoperability means that healthcare information can be accessed by authorised providers across different systems, regardless of where the information was originally generated or stored. This includes data such as medical histories, lab results, imaging studies, Insurance coverage, and other clinical information. Apart from healthcare providers like a hospital or doctorâ€™s clinics, The purview of Health Data Interoperability includes Diagnostic labs, Insurance providers, Pharmacies, Wellness Service providers (Gyms, Yoga centres), Mobile Health and Wellness (HnW) apps, Wearable devices (iPhone, Fitbit, Glucometer), Government Healthcare Schemes like CGHS etc, and even public health research. The lack of interoperability has been a major barrier to the adoption of health information technology and the sharing of patient data in the past. But before we dig deeper into that, we must Quench the Question that is Quintessential to the Quest for a change from|data_input/MediumArticles/Health Data Interoperability.txt|5b862aff6afd493b9766e242ae3ee0fb
is Quintessential to the Quest for a change from the Quiescence. (Wow.. what a Quip.. right?)|data_input/MediumArticles/Health Data Interoperability.txt|3e17c85278284d38a2df361c47779e3d
Why Interoperability? Unlike the charger example (which is slightly irrelevant by now), The benefits of health data interoperability stretch wider than just convenience. It spans Primary Careâ€”which is generally the first level of care that patients receive when they have medical concerns or needs and takes a whole-of-society approach, Secondary care â€” provided by doctors and other health professionals, most often provided in hospitals, Tertiary, and quaternary care. Here are a few reasons why Interoperability is important: Improved patient care Patients can receive more coordinated and effective care when health data can be shared across different providers and organisations. Providers can access a patient's complete medical history, including information from previous providers and hospitals, which can help inform treatment decisions and avoid duplicative or unnecessary tests and procedures. Reduced healthcare costs Interoperability can help reduce healthcare costs by eliminating the|data_input/MediumArticles/Health Data Interoperability.txt|cea903ef8852462d825e97f8f7929111
help reduce healthcare costs by eliminating the need for redundant tests and procedures and improving care coordination, which can reduce the likelihood of medical errors and complications. Additionally, interoperability can help identify high-risk patients who may benefit from proactive interventions to prevent costly hospitalisations or other healthcare events.|data_input/MediumArticles/Health Data Interoperability.txt|78e6fecffe0f47b2a87181651b51c042
Easier insurance claim settlement Health data interoperability can help with insurance claims by streamlining the claims process, reducing errors, and improving the accuracy and completeness of the data submitted with claims. It can also help reduce administrative costs and speed up claims processing. It can Improve the patient experience by reducing the amount of paperwork required to file a claim. Not that I know anyone who doesnâ€™t enjoy tons of papers work that are currently required to file a claimâ€¦ just kidding! Predictive Healthcare It can enable the analysis of large datasets from different sources, such as electronic health records (EHRs), claims data, and public health databases. By integrating these datasets and applying advanced analytics, healthcare providers can identify patterns and insights that can help predict future health outcomes, identify patients at high risk of developing certain conditions, and provide targeted interventions to prevent disease progression.|data_input/MediumArticles/Health Data Interoperability.txt|ed57a1e8402d4528a2914f71760fba91
interventions to prevent disease progression. Improved public health Interoperability can help public health officials identify and respond to disease outbreaks more quickly and effectively. Remember COVID19! It can also facilitate research into the causes and treatments of diseases, which can lead to better health outcomes for patients.|data_input/MediumArticles/Health Data Interoperability.txt|c70a9f10efce49bd98ff27d64a35b5a0
Enhanced innovation Interoperability can accelerate the development of new healthcare technologies such as artificial intelligence and machine learning applications, that rely on the availability of accurate and comprehensive health data. In summary, Interoperability is essential for improving the quality of patient care and reducing healthcare costs by streamlining the sharing of data among healthcare providers. It can also facilitate the development of new healthcare technologies, such as wearable devices, remote monitoring systems, and artificial intelligence applications, that rely on the availability of accurate and comprehensive health data. Wow, So many benefits. Why then are we not doing it already? In short, it is a continuous quest for improvement in healthcare governance. It is technically very challenging. And the hardest of all, It is an exercise in persuasion at scale, involving numerous parties with diverse interests. But the wheels are rolling faster than ever. There|data_input/MediumArticles/Health Data Interoperability.txt|bb0225f858ca494ca8c4c8190349dbf7
the wheels are rolling faster than ever. There has been a growing effort in recent years to promote and facilitate interoperability, including the development of national and international standards for data exchange (more on that in a subsequent article) and the implementation of government regulations requiring healthcare organisations to share patient data (more on that too, later in a subsequent article).|data_input/MediumArticles/Health Data Interoperability.txt|fd2d01b4782d466db9c4b7273a896f62
There is a surge in offerings by the big cloud players (MAG), for healthcare IT components as a service (SaaS), consequently, There is also an increase in â€œInteroperability as a serviceâ€ offerings. So, I guess Here it is High time we Heed the question we Have not discussed Hithertoâ€¦ How!|data_input/MediumArticles/Health Data Interoperability.txt|0ff5cf6e60214b328520d10b6ed8eeec
How do we achieve Health Data Interoperability? Here is when the fun part starts for a techie like me. One of the reasons why Health data interoperability is so challenging is because of how sensitive the data is. Healthcare must be dealt with with the utmost sensitivity which parallels and probably supersedes that of the finance data. At best, healthcare data mismanagement can lead to a wrong diagnosis for a patient, at worst it can lead to a question of life, death and public health catastrophe. Special care must be taken when the data is in flight. Which is to say when the data is being exchanged from one system to another, or within a system. Broadly speaking, we must talk about the following issues when talking about Health Data Interoperability. â€¢	Vocabulary (Tomey-Toh = Toma-toe, Potey-Toh = Potaa-toe) â€¢	Standard for data exchange. Who started the FHIR (spelling mistake?) and why? â€¢	User Consent. â€¢	Data Security. I am afraid if I discuss each of these topics here in this|data_input/MediumArticles/Health Data Interoperability.txt|d9f17a05951440e5891234fbd510f819
if I discuss each of these topics here in this article, it might become a TL; DR. So I think it is best to break it down into a series of articles. In the next instalment, I will dig a little deeper into the above-mentioned aspects of HDI, and the challenges involved with them. We will come closer to answering the â€˜How?â€™ Part of achieving data interoperability in Healthcare.|data_input/MediumArticles/Health Data Interoperability.txt|152cb8d26b6b485f9eeb988655619e37
"In subsequent articles, I plan to write about the following topics. â€¢	Development of national and international standards for data exchange â€¢	Health data interoperability for Public health, OPD, Value-based care, and Social Determinants of Health. â€¢	What are the various initiatives the governments around the world are taking in the direction of HDI? â€¢	What are the steps the Government of India is taking, to achieve HDI Bliss in our country?

I hope this article added a little bit to your repertoire of knowledge. Any suggestion will be highly appreciated with ðŸº Thanks for reading. --- About me I am a learner of architecture (not the buildingsâ€¦ the tech kind). In past, I have worked with Semiconductor modelling, Digital circuit design, and the Internet of Things. Currently, I am working on Data interoperability and data warehouse architectures for healthcare, at Walmart Health and Wellness.

Interoperability How?

introduction"|data_input/MediumArticles/Health Data Interoperability.txt|9407c997c85e4d9fa3694df0cb32b6c4
"Interoperability How?

introduction

Vocabulary Standards For HnW data to make sense, using a standard vocabulary is the first must."|data_input/MediumArticles/Health Data Interoperability.txt|5c3bbe4e43a943f2b2f6ca701194f742
Image Source: https://www.cartoonstock.com/cartoon?searchID=CS289733 Consider the case of the word Rubber. In India, the word means a rubber eraser that children use to erase the pencil. In the USA, Rubber is generally understood to mean Condoms. These two objects not only have different uses but also cater to a rather non-overlapping age group. One can imagine how many embarrassing, if funny, confusions this can lead to. We donâ€™t want that kind of confusion between our doctor, pharmacy and path lab about our diagnosis or the name of our prescription medicine. Vocabulary standards ensure that the healthcare data is accurately and consistently represented and understood by different healthcare systems. Over the past, many vocabulary standards have evolved to provide a standard terminology for health concepts. Each of them is designed for a specific use case, for example, the classification of medicines, or to provide standard codes for medical procedures, etc. In the coming sections,|data_input/MediumArticles/Health Data Interoperability.txt|b6af8a61cfa54d30a9fb16aec67db57a
medical procedures, etc. In the coming sections, letâ€™s discuss a few of the most widely used standards out of the lot. The aim of this discussion is not to gain mastery over the lore of health data vocabulary but Rather to develop an appreciation for the complex problem they are trying to solve and the beauty with which they are able to solve it. International Classification of Diseases (ICD) The ICD standard is used worldwide as the international standard for reporting and monitoring diseases and health conditions.|data_input/MediumArticles/Health Data Interoperability.txt|6154ed4901934d09a9acb8c670e841e0
"It is maintained by the World Health Organization (WHO) and is used by over 100 countries. ICD provides a system of diagnostic codes for classifying diseases, including a variety of signs, symptoms, abnormal findings, social circumstances, external causes, etc. The system is organised hierarchically, with the highest level being chapters, followed by sections, categories, and subcategories. Each level provides increasing detail about a particular condition. For example, here is how two kinds of headaches are classified under ICD version 11. Headache disorders  (8A80 to 8A8Z) â€” Migraine  (8A80) â€” Migraine with aura  (8A80.1) â€” Migraine with aura, unspecified  (8A80.1Z)

Headache disorders  (8A80 to 8A8Z) â€” Secondary Headache (8A84) â€” Has causing condition: 1B2Z Mycobacterial diseases, unspecified (cluster code:  8A84/1B2Z)"|data_input/MediumArticles/Health Data Interoperability.txt|b44d09e785ae4fc89b5bb70810e7bd99
ICD is used by a variety of stakeholders, including healthcare providers, researchers, and policymakers worldwide to collect, analyse, and share health data. It is also used for public health surveillance for disease outbreaks and the management of healthcare resources. The system is regularly updated by the WHO with new medical knowledge and changes in medical practices. The latest version of the ICD, ICD-11, was released in 2018.|data_input/MediumArticles/Health Data Interoperability.txt|4b2aff66872344cc96df73b00327a95e
"Systematised Nomenclature of Medicine Clinical Terms (SNOMED CT) SNOMED CT is a comprehensive clinical terminology system. It provides a standardised way of representing a hierarchy of clinical concepts and their relationships. For example, general concepts, such as ""disorders"", are subdivided into more specific concepts, such as ""cardiovascular disordersâ€. There are further subdivided into even more specific concepts, such as ""myocardial infarctionâ€. I donâ€™t know what any of these disorders mean, but it illustrates the point. One of the defining features of SNOMED CT is its ability to represent complex relationships between clinical concepts, like so â€” Concept_1 â€“ Relation_x â€“ Concept_2. These relationships help us understand the conceptsâ€™ semantic meaning and their interrelatedness. For example, letâ€™s take these concepts. Concept 1: Common cold (code: 82272006) Concept 2: Rhinovirus (code: 415810000) Concept 3: Viral infectious disease (code: 1400000) In SNOMED CT, there are"|data_input/MediumArticles/Health Data Interoperability.txt|4c90251fc22d41b787474c2a79876879
disease (code: 1400000) In SNOMED CT, there are relationships between these three concepts that describe the causative agent and pathological process of the common cold. Common cold (82272006) â€” Has causative agent (246075003) â€” Rhinovirus (415810000) Rhinovirus (415810000) â€” Is a (116680003) â€” Viral infectious disease (1400000) Common cold (82272006) â€” Has pathological process (405813007) â€” Viral infectious disease (1400000) Soâ€¦ Why did the SNOMED CT concept go see a therapist? Because it had too many relationships to deal with!|data_input/MediumArticles/Health Data Interoperability.txt|efb0449e9bde4d83b5b0ad037234e91e
Sorry for the poor joke. SNOMED CT is considered the worldâ€™s most comprehensive, multilingual clinical healthcare terminology. The standard is available in more than 30 languages and used in over 70 countries. However, It is available for a license fee, not free to use.|data_input/MediumArticles/Health Data Interoperability.txt|2bede5a3aaac4e13ab882e445262ba61
Logical Observation Identifiers Names and Codes (LOINC) LOINC is a database and universal standard for identifying medical laboratory observations. LOINC system has two parts. The Laboratory LOINC codes are used to identify laboratory tests and results, such as blood tests, urine tests, etc. The Clinical LOINC codes are used to identify clinical observations, measurements and their interpretations, such as vital signs, and physical measurements. A fully specified name in LOINC includes the following six attributes: 1. Component: The measured substance or property, such as glucose or haemoglobin. 2. Property: The aspect of the component being measured, such as the mass concentration. 3. Time: Time interval for which the observation was made, such as fasting or post-prandial. 4. System: The observed organ or system, such as respiratory or cardiovascular. 5. Scale: The method used for the measurement, such as nominal or ordinal. 6. Method: The procedure used for the observation, such as|data_input/MediumArticles/Health Data Interoperability.txt|ac59624643d0472caf45cec9280f346b
The procedure used for the observation, such as immunoassay or electrochemistry. A unique code (format: nnnnn-n) is assigned to each concept upon registration. For example, LOINC Code 8462-4 Represents the Component: Haemoglobin [Mass/volume] in Blood, Property: Mass/volume, Time: Pt, System: Bld, Scale: Qn, Method: Spectrophotometry LOINC has been adopted in over 180 countries and is available in multiple languages.|data_input/MediumArticles/Health Data Interoperability.txt|742fdd3127ef47b3ba2fc0184d773d8f
The LOINC International Advisory Committee (LIAC) works to ensure that LOINC is usable across different regions and health systems. LOINC Standard is available for free use.|data_input/MediumArticles/Health Data Interoperability.txt|c616062ba1c14cca9c3b48afd3957ea7
RxNorm RxNorm provides a normalised naming and coding system for medicines and their clinical components for managing clinical drug information in electronic health records. The structure of RxNorm includes three main components: â€¢	Concept: A unique identifier (RxCUI) representing a unique clinical drug or ingredient that can be prescribed, dispensed, or administered. â€¢	Term Type: The type of the term associated with a concept, for example, brand name, generic name, or ingredient. â€¢	Relationship: A relationship between concepts within RxNorm, like ingredient, strength, dose form, etc. RxNorm concepts are connected by various relationships that indicate the associations between different medications. For example, a relationship can mean that a specific medicine contains a certain ingredient or that two medications have different strengths but are otherwise the same drug. Using these relationships, we can navigate the RxNorm graph from an ingredient to a fully-specified drug, and so|data_input/MediumArticles/Health Data Interoperability.txt|a58828060685479096e84a0aa26a1f82
an ingredient to a fully-specified drug, and so forth. RxNorm was developed in 2001 by the National Laboratory of Medicine USA in consultation with the FDA and the HL7 Vocabulary Technical Committee. Although primarily focused on medication-related information used in the United States, efforts have been made to expand its coverage to include other countries. NLM also offers a comprehensive set of APIs for easy integration with EHRs and other HnW systems. It is available for free use.|data_input/MediumArticles/Health Data Interoperability.txt|f4eb676c6fab4dbaa12962adc052b56a
Current Procedural Terminology CPT was created by the American Medical Association (AMA) in 1966. The original intended purpose of CPT was to code diagnostic and therapeutic procedures. Later this was adopted by the US government for billing and reimbursements by healthcare payers, such as insurance companies and government programs like Medicare. The codes are used to report services and procedures performed by healthcare providers and to determine the appropriate payment amount for those services. CPT codes are now also used for data collection and analysis, research, and quality measurement purposes. CPT is limited in scope and depth, but it is the most widely used standard in the USA to report physician procedures and services for insurance reimbursement.|data_input/MediumArticles/Health Data Interoperability.txt|83fcbc70f24e44aa953d41e089b13aad
Canadian Classification of Health Interventions (CCI) The CCI standard was developed by the Canadian Institute for Health Information, to serve a similar role in Canada as the CPT standard in the USA. It is a comprehensive classification system for coding health interventions, procedures, and treatments for various healthcare settings. The CCI standard is organised as a hierarchy of Chapter > Section > Subsection > Intervention. The codes themselves are alphanumeric strings of the format C.XX.00.ZZ, where each of the four sections corresponds to the respective level in the hierarchy For example Code: 1.HD.40.EG01 represents: â€¢	Section: 1 (Medical, Surgical, Diagnostic, and Therapeutic Procedures) â€¢	Body system: HD (Hemic and Lymphatic Systems) â€¢	Root operation: 40 (Transfusion) â€¢	Qualifier: EG01 (Blood, Platelets, or Plasma for Transfusion) Unlike CPT, CCI Is available as open source. Hence it might be easier to extend to different geographical contexts.|data_input/MediumArticles/Health Data Interoperability.txt|3a791d2e6ad04b5c8541ca57cbce14dc
Phewâ€¦ so many standards. But there are many more, spanning the length and breadth of the Health domains and Geographies. Here are a few more commonly used ones: â€¢	International Classification of Functioning, Disability and Health (ICF) â€¢	International Classification of Health Interventions (ICHI) â€¢	Healthcare Common Procedure Coding System (HCPCS) â€¢	... And the list goes on. It would be an exercise in futility to list all of them here. But I think by now, we already have a good appreciation for some of the most common ones. We already know a few different ways to equate the Tomey-tohs and Potey-tohs to Toma-toe and Pota-toe of Health and Wellness.|data_input/MediumArticles/Health Data Interoperability.txt|b262a26a8f8b46eb99e1050113c1839c
